Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Andra,2022-10-31 18:58:26,00:18:54,,Fate: The Winx Saga: Season 2: All the Wild Witches (Episode 7),,Chrome PC (Cadmium),00:49:36,00:49:36,EE (Estonia)
Andra,2022-10-31 18:27:43,00:30:30,,Fate: The Winx Saga: Season 2: Poor Unfortunate Souls (Episode 6),,Chrome PC (Cadmium),00:49:39,00:49:39,EE (Estonia)
Andra,2022-10-31 18:27:11,00:00:23,Autoplayed: user action: None; ,Limited Series Cliffhanger Clip: Conversations with a Killer: The Jeffrey Dahmer Tapes,HOOK,Chrome PC (Cadmium),00:00:23,00:00:23,EE (Estonia)
Andra,2022-10-29 07:34:14,00:02:45,,Fate: The Winx Saga: Season 2: Poor Unfortunate Souls (Episode 6),,iPhone 12 Mini,00:03:31,Not latest view,EE (Estonia)
Andra,2022-10-29 06:58:02,00:02:30,,Fate: The Winx Saga: Season 2: Are You a Good Witch or a Bad Witch? (Episode 5),,iPhone 12 Mini,00:52:47,00:52:47,EE (Estonia)
Andra,2022-10-29 06:42:28,00:14:33,,Fate: The Winx Saga: Season 2: An Hour Before the Devil Fell (Episode 4),,iPhone 12 Mini,00:45:26,00:45:26,EE (Estonia)
Andra,2022-10-29 06:42:21,00:00:03,,Fate: The Winx Saga: Season 2: Your Newfound Popularity (Episode 3),,iPhone 12 Mini,00:26:13,00:26:13,EE (Estonia)
Andra,2022-10-28 11:42:41,00:00:12,,Fate: The Winx Saga: Season 2: An Hour Before the Devil Fell (Episode 4),,Chrome PC (Cadmium),00:00:12,Not latest view,EE (Estonia)
Andra,2022-10-28 11:35:41,00:06:55,,Fate: The Winx Saga: Season 2: Your Newfound Popularity (Episode 3),,Chrome PC (Cadmium),00:26:09,Not latest view,EE (Estonia)
Andra,2022-10-28 11:15:25,00:14:06,,Fate: The Winx Saga: Season 2: Taken By The Wind (Episode 2),,Chrome PC (Cadmium),00:48:08,00:48:08,EE (Estonia)
Andra,2022-10-28 10:38:54,00:30:07,,Fate: The Winx Saga: Season 2: Low-Flying Panic Attack (Episode 1),,Chrome PC (Cadmium),00:48:43,00:48:43,EE (Estonia)
Andra,2022-10-28 10:37:36,00:01:05,Autoplayed: user action: None; ,Season 1 Villain / Antagonist Clip: The Watcher,HOOK,Chrome PC (Cadmium),00:01:05,00:01:05,EE (Estonia)
Andra,2022-10-11 17:34:29,00:23:45,,DAHMER: Monster: The Jeffrey Dahmer Story: The Good Boy Box (Episode 4),,Chrome PC (Cadmium),00:58:52,00:58:52,EE (Estonia)
Andra,2022-10-11 17:32:53,00:01:33,,DAHMER: Monster: The Jeffrey Dahmer Story: Doin' A Dahmer (Episode 3),,Chrome PC (Cadmium),00:01:33,00:01:33,EE (Estonia)
Andra,2022-10-11 17:32:35,00:00:16,,DAHMER: Monster: The Jeffrey Dahmer Story: Episode One,,Chrome PC (Cadmium),00:00:16,00:00:16,EE (Estonia)
Andra,2022-10-11 17:32:29,00:00:04,Autoplayed: user action: None; ,Supporting Character Clip 2: DAHMER,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,EE (Estonia)
Andra,2022-08-24 17:45:16,00:02:30,Autoplayed: user action: None; ,How to Get Away With Murder: Season 1: Hello Raskolnikov (Episode 10),,Chrome PC (Cadmium),00:02:37,00:02:37,EE (Estonia)
